article_title,page_size,num_watchers,num_edits,num_redirects,creation_date,last_edit_date,authors_in_last30,page_views_last30
Luka Neskovic,"3,223",Fewer than 30 watchers,36,Yes,"17:47, 18 March 2013","00:40, 13 December 2016",0,191
Hiroyasu Sasaki,"2,179",Fewer than 30 watchers,19,Yes,"19:59, 6 November 2007","20:59, 3 July 2016",0,70
Hristo Karastoyanov,"3,669",Fewer than 30 watchers,32,Yes,"14:26, 22 September 2011","00:36, 17 May 2016",0,65
Downtown Saskatoon bus terminal,"2,143",Fewer than 30 watchers,15,Yes,"22:26, 9 September 2015","23:03, 23 January 2017",0,72
Nordwestuckermark,"5,832",Fewer than 30 watchers,38,Yes,"20:53, 13 June 2007","11:14, 28 October 2017",0,95
Hank the Cat,"5,685",Fewer than 30 watchers,46,Yes,"18:55, 11 November 2012","11:39, 3 November 2017",0,609
Cambodian–Vietnamese War,"93,449",133,"1,133",9,"09:14, 8 April 2005","03:41, 23 January 2018",4,"34,950"
List of space companies and facilities in Virginia,"1,166",Fewer than 30 watchers,21,Yes,"19:19, 28 January 2010","01:44, 28 July 2017",0,198
Adolph J. Lewandowski,"4,738",Fewer than 30 watchers,66,Yes,"18:36, 7 December 2007","05:30, 18 November 2017",0,103
Glenda Dickerson,"7,758",Fewer than 30 watchers,86,Yes,"08:47, 16 February 2007","12:22, 18 October 2017",0,169
Eye of the Cat,"2,236",Fewer than 30 watchers,30,Yes,"22:46, 4 December 2010","07:40, 27 November 2017",0,954
Wladimir Balentien,"10,704",Fewer than 30 watchers,252,Yes,"01:16, 21 August 2006","17:55, 5 December 2017",0,"1,611"
Jonas Bergström (actor),"1,280",Fewer than 30 watchers,9,Yes,"10:51, 2 March 2014","11:58, 24 June 2017",0,133
Heilsau,"1,031",Fewer than 30 watchers,8,Yes,"17:31, 29 October 2011","00:58, 26 December 2016",0,30
Acharya Harihar Regional Cancer Centre,"1,246",Fewer than 30 watchers,19,Yes,"01:35, 29 November 2011","00:30, 26 June 2017",0,385
Qatar Bolaghi,"1,990",Fewer than 30 watchers,6,Yes,"17:43, 14 August 2013","00:57, 15 May 2017",0,17
SymTorrent,"2,130",Fewer than 30 watchers,52,Yes,"21:23, 10 November 2006","12:31, 8 January 2018",1,91
Sweet Sue,"2,175",Fewer than 30 watchers,20,Yes,"16:38, 11 August 2006","00:12, 13 September 2015",0,99
Bryoria,"1,705",Fewer than 30 watchers,16,Yes,"04:11, 27 April 2010","18:14, 19 May 2016",0,93
Trisha Cooper,"1,541",Fewer than 30 watchers,34,Yes,"12:00, 3 November 2005","05:42, 27 November 2017",0,45
Gau Lower Silesia,"5,128",Fewer than 30 watchers,14,Yes,"02:27, 30 March 2016","16:42, 30 December 2017",1,168
2018 Carolina Challenge Cup,"5,745",Fewer than 30 watchers,2,Yes,"15:47, 5 October 2017","21:48, 31 December 2017",1,308
Count of Ourém,"2,775",Fewer than 30 watchers,26,Yes,"17:30, 10 October 2008","11:54, 13 January 2018",1,102
Siaesella fragilis,"1,149",Fewer than 30 watchers,4,Yes,"23:08, 4 May 2010","17:12, 13 May 2011",0,31
Netechma gibberosa,"1,576",Fewer than 30 watchers,12,Yes,"09:57, 12 November 2013","04:08, 19 May 2017",0,28
Julio Vanzo,"3,458",Fewer than 30 watchers,22,Yes,"00:08, 10 March 2006","09:32, 29 April 2017",0,27
Eupithecia albifurva,872,Fewer than 30 watchers,7,Yes,"15:04, 10 March 2013","20:24, 21 September 2017",0,29
Ducati Scrambler,"5,226",Fewer than 30 watchers,65,Yes,"04:06, 6 June 2013","08:34, 22 May 2017",0,"1,957"
Hispanic America,"28,103",68,627,10,"19:37, 2 February 2004","18:08, 22 January 2018",3,"7,396"
Hugh Kirkaldy,"4,996",Fewer than 30 watchers,55,Yes,"22:52, 28 April 2006","16:23, 21 November 2017",0,82
"Johnson Township, Carter County, Missouri",873,Fewer than 30 watchers,4,Yes,"04:52, 10 February 2017","11:55, 26 April 2017",0,25
Special administrative region,589,79,10,0,"07:09, 1 November 2015","18:18, 27 October 2017",0,"1,931"
Supreme Commander,"53,780",109,"2,153",12,"03:48, 30 October 2004","18:41, 8 January 2018",3,"5,128"
"Lipowica, Świętokrzyskie Voivodeship","1,623",Fewer than 30 watchers,8,Yes,"00:29, 26 August 2008","14:13, 24 March 2017",0,32
Azerbaijani classical music,"5,012",Fewer than 30 watchers,20,Yes,"20:23, 29 June 2014","04:23, 23 May 2017",0,294
Jay Love,"5,054",Fewer than 30 watchers,48,Yes,"02:17, 16 November 2008","03:17, 23 November 2017",0,141
Diastophya albisetosa,731,Fewer than 30 watchers,3,Yes,"08:32, 17 June 2015","13:11, 1 October 2017",0,19
Lamoria eumeces,916,Fewer than 30 watchers,7,Yes,"11:21, 17 February 2012","20:32, 15 July 2017",0,19
Christopher Rule,"12,210",Fewer than 30 watchers,149,Yes,"05:35, 5 January 2007","00:59, 22 August 2017",0,128
Kilrie,"1,896",Fewer than 30 watchers,18,Yes,"08:35, 19 September 2010","20:52, 8 April 2014",0,51
Bert Edwards (cricketer),"2,223",Fewer than 30 watchers,25,Yes,"12:53, 11 January 2007","08:00, 14 December 2017",0,41
Jodie Scholz,782,Fewer than 30 watchers,21,Yes,"07:35, 25 October 2007","14:22, 31 March 2016",0,55
USS ,"6,828",Fewer than 30 watchers,40,Yes,"00:03, 4 January 2007","19:52, 28 October 2017",0,285
Villa Altagracia,"5,187",Fewer than 30 watchers,60,Yes,"15:13, 17 May 2007","17:33, 22 March 2017",0,299
Bodo von Borries,"2,076",Fewer than 30 watchers,17,Yes,"13:49, 24 August 2013","04:43, 23 December 2017",0,90
Quintus Aemilius,801,Fewer than 30 watchers,22,Yes,"02:44, 16 February 2005","20:40, 30 May 2016",0,61
Von Zipper,"1,554",Fewer than 30 watchers,33,Yes,"04:53, 28 October 2005","03:47, 6 November 2017",0,732
"List of mayors of Waterloo, Ontario","5,687",Fewer than 30 watchers,48,Yes,"19:31, 23 May 2006","21:46, 10 September 2016",0,109
Alma Delia Fuentes,"3,153",Fewer than 30 watchers,25,Yes,"20:50, 26 August 2013","19:34, 14 April 2017",0,382
1837 in poetry,"7,289",Fewer than 30 watchers,51,Yes,"21:55, 17 December 2006","13:48, 25 July 2017",0,62
Kempinski Hotel Mall of the Emirates,"4,551",Fewer than 30 watchers,77,Yes,"08:16, 15 July 2008","20:35, 30 November 2017",0,208
Asymphorodes adynatus,841,Fewer than 30 watchers,7,Yes,"03:50, 22 October 2012","23:34, 13 October 2017",0,16
John Burrell (entomologist),"2,624",Fewer than 30 watchers,33,Yes,"13:39, 26 February 2008","07:00, 9 January 2017",0,67
USS ,"7,358",Fewer than 30 watchers,34,Yes,"22:23, 17 July 2007","23:38, 15 May 2017",0,91
Frequency changer,"4,759",Fewer than 30 watchers,108,Yes,"17:24, 3 June 2005","23:54, 7 October 2017",0,"2,865"
Ernie Glenn,"3,416",Fewer than 30 watchers,15,Yes,"22:09, 21 June 2012","07:01, 10 October 2017",0,29
Fossil Creek Bridge,"4,023",Fewer than 30 watchers,31,Yes,"15:05, 14 August 2009","23:11, 30 September 2017",0,60
Jozef Medgyes,"2,768",Fewer than 30 watchers,13,Yes,"18:05, 21 May 2012","12:41, 30 January 2017",0,25
"Bristol City Council election, 2009","33,811",Fewer than 30 watchers,61,Yes,"21:35, 13 April 2009","00:07, 26 July 2017",0,67
Cycling at the 1992 Summer Olympics – Men's individual road race,"13,609",Fewer than 30 watchers,89,Yes,"16:15, 30 April 2007","16:09, 27 April 2017",0,186
Stefan Golaszewski,"3,602",Fewer than 30 watchers,86,Yes,"17:31, 26 June 2007","21:45, 18 July 2017",0,"2,102"
Ali Al-Amri (footballer),"1,942",Fewer than 30 watchers,28,Yes,"23:40, 30 July 2012","16:09, 16 January 2018",1,55
Lance Arnold,"1,616",Fewer than 30 watchers,44,Yes,"13:49, 16 May 2007","02:12, 20 October 2017",0,78
Vietnam at major beauty pageants,"8,888",Fewer than 30 watchers,65,Yes,"04:07, 26 May 2017","14:00, 14 January 2018",7,547
Assassinator Jing Ke,"5,143",Fewer than 30 watchers,59,Yes,"04:42, 13 February 2010","00:06, 22 January 2018",1,479
Topological dynamics,"3,547",Fewer than 30 watchers,23,Yes,"21:15, 18 March 2008","16:22, 29 December 2017",1,409
Vasily Fyodorovich Trutovsky,"3,416",Fewer than 30 watchers,15,Yes,"19:07, 10 November 2009","21:21, 9 February 2017",0,43
Gurcharan Virk,"3,956",Fewer than 30 watchers,42,Yes,"09:38, 14 July 2014","03:11, 27 November 2017",0,85
Abu Sa'id Mirza,"10,062",Fewer than 30 watchers,88,Yes,"04:41, 17 February 2012","10:33, 17 January 2018",1,"2,799"
Joyce Spiliotis,"2,154",Fewer than 30 watchers,23,Yes,"00:14, 18 March 2011","00:12, 17 August 2016",0,62
Shigeru Takashina,"2,338",Fewer than 30 watchers,17,Yes,"14:42, 21 September 2013","23:48, 27 November 2017",0,97
Edgar Villamarín,"3,152",Fewer than 30 watchers,78,Yes,"03:24, 30 January 2008","06:01, 27 November 2017",0,96
Eddie Jenkins,"2,006",Fewer than 30 watchers,8,Yes,"11:20, 1 May 2016","22:20, 27 July 2017",0,87
Pentagram,"4,778",Fewer than 30 watchers,122,Yes,"04:35, 14 June 2006","20:10, 25 December 2017",1,"1,085"
1996 Hellmann's Cup – Doubles,"7,252",Fewer than 30 watchers,15,Yes,"20:01, 25 October 2010","00:35, 16 April 2017",0,33
J. Howard McGrath,"11,577",Fewer than 30 watchers,138,Yes,"17:33, 27 July 2004","04:28, 12 September 2017",0,886
Political Organisation (Albania),"1,257",Fewer than 30 watchers,1,Yes,"16:08, 17 September 2017","16:08, 17 September 2017",0,21
2015 Japanese motorcycle Grand Prix,"20,233",Fewer than 30 watchers,23,Yes,"22:51, 27 September 2015","18:26, 6 January 2018",1,166
Stallings Island,"4,124",Fewer than 30 watchers,34,Yes,"03:10, 2 May 2008","09:20, 26 November 2016",0,241
Madhukar Rao Bhagwat,"2,078",Fewer than 30 watchers,14,Yes,"00:06, 4 June 2013","04:06, 5 December 2016",0,610
John W. Browning,"3,740",Fewer than 30 watchers,18,Yes,"17:04, 15 November 2012","01:34, 29 November 2017",0,24
Prussian P 6,"4,732",Fewer than 30 watchers,27,Yes,"14:26, 1 November 2008","18:20, 15 January 2017",0,164
Jossimar Sanchez,"4,710",Fewer than 30 watchers,27,Yes,"15:13, 5 May 2014","06:05, 14 November 2017",0,66
Joe Palatsides,"4,701",Fewer than 30 watchers,89,Yes,"22:26, 2 November 2008","15:43, 8 November 2017",0,158
Jacanidae,"2,099",Fewer than 30 watchers,25,Yes,"07:30, 15 April 2003","16:57, 3 January 2018",2,496
Tanta SC,"2,045",Fewer than 30 watchers,47,Yes,"13:45, 26 September 2009","09:02, 21 January 2018",1,749
Heine Araújo,"1,953",Fewer than 30 watchers,11,Yes,"04:06, 21 July 2016","02:42, 31 October 2017",0,30
Kan-irag Nature Park,"1,525",Fewer than 30 watchers,32,Yes,"12:14, 18 July 2008","23:28, 9 December 2016",0,84
Richard Magnus,"2,162",Fewer than 30 watchers,31,Yes,"16:25, 5 August 2006","02:26, 20 January 2018",1,52
Le Carillon,"1,277",Fewer than 30 watchers,25,Yes,"10:51, 2 February 2006","02:41, 5 December 2014",0,55
Transfusion-associated graft versus host disease,"4,650",Fewer than 30 watchers,53,Yes,"08:09, 18 June 2006","13:49, 17 July 2017",0,"1,271"
